VotersAmount,MeanIQ,NaiveCrowdIQ,Threshold20IQ,Threshold50IQ,FactorCrowdIQ
10,0.061,0.000,0.000,0.003,0.161
100,0.061,0.000,0.000,0.000,0.002
1000,0.061,0.000,0.000,0.000,0.000
10000,0.061,0.000,0.000,0.000,0.000
100000,0.061,0.000,0.000,0.000,0.000
10,0.088,0.000,0.000,0.009,0.235
100,0.088,0.000,0.000,0.000,0.034
1000,0.088,0.000,0.000,0.000,0.000
10000,0.088,0.000,0.000,0.000,0.000
100000,0.088,0.000,0.000,0.000,0.000
10,0.123,0.002,0.003,0.022,0.307
100,0.123,0.000,0.000,0.000,0.101
1000,0.123,0.000,0.000,0.000,0.000
10000,0.123,0.000,0.000,0.000,0.000
100000,0.123,0.000,0.000,0.000,0.000
10,0.162,0.010,0.012,0.045,0.376
100,0.162,0.000,0.000,0.000,0.193
1000,0.162,0.000,0.000,0.000,0.000
10000,0.162,0.000,0.000,0.000,0.000
100000,0.162,0.000,0.000,0.000,0.000
10,0.206,0.021,0.029,0.082,0.434
100,0.206,0.000,0.000,0.000,0.303
1000,0.206,0.000,0.000,0.000,0.047
10000,0.206,0.000,0.000,0.000,0.000
100000,0.206,0.000,0.000,0.000,0.000
10,0.253,0.052,0.064,0.138,0.484
100,0.253,0.000,0.000,0.001,0.428
1000,0.253,0.000,0.000,0.000,0.200
10000,0.253,0.000,0.000,0.000,0.005
100000,0.253,0.000,0.000,0.000,0.000
10,0.299,0.099,0.121,0.205,0.522
100,0.299,0.000,0.000,0.009,0.563
1000,0.299,0.000,0.000,0.000,0.453
10000,0.299,0.000,0.000,0.000,0.338
100000,0.299,0.000,0.000,0.000,0.096
10,0.352,0.172,0.198,0.285,0.546
100,0.352,0.003,0.002,0.048,0.685
1000,0.352,0.000,0.000,0.000,0.842
10000,0.352,0.000,0.000,0.000,0.970
100000,0.352,0.000,0.000,0.000,1.000
10,0.399,0.266,0.300,0.372,0.565
100,0.399,0.022,0.037,0.174,0.752
1000,0.399,0.000,0.000,0.003,0.993
10000,0.399,0.000,0.000,0.000,1.000
100000,0.399,0.000,0.000,0.000,1.000
10,0.451,0.379,0.409,0.465,0.580
100,0.451,0.160,0.226,0.412,0.776
1000,0.451,0.000,0.017,0.243,0.994
10000,0.451,0.000,0.000,0.013,1.000
100000,0.451,0.000,0.000,0.000,1.000
10,0.499,0.501,0.522,0.559,0.589
100,0.499,0.501,0.585,0.684,0.782
1000,0.499,0.501,0.802,0.936,0.996
10000,0.499,0.500,0.998,1.000,1.000
100000,0.499,0.500,1.000,1.000,1.000
10,0.551,0.621,0.634,0.651,0.597
100,0.551,0.840,0.874,0.882,0.782
1000,0.551,1.000,1.000,1.000,0.993
10000,0.551,1.000,1.000,1.000,1.000
100000,0.551,1.000,1.000,1.000,1.000
10,0.599,0.733,0.734,0.735,0.608
100,0.599,0.979,0.981,0.973,0.787
1000,0.599,1.000,1.000,1.000,0.995
10000,0.599,1.000,1.000,1.000,1.000
100000,0.599,1.000,1.000,1.000,1.000
10,0.649,0.830,0.820,0.810,0.620
100,0.649,0.999,1.000,0.999,0.799
1000,0.649,1.000,1.000,1.000,0.995
10000,0.649,1.000,1.000,1.000,1.000
100000,0.649,1.000,1.000,1.000,1.000
10,0.700,0.898,0.888,0.873,0.637
100,0.700,1.000,1.000,1.000,0.822
1000,0.700,1.000,1.000,1.000,0.998
10000,0.700,1.000,1.000,1.000,1.000
100000,0.700,1.000,1.000,1.000,1.000
10,0.747,0.950,0.939,0.924,0.662
100,0.747,1.000,1.000,1.000,0.856
1000,0.747,1.000,1.000,1.000,1.000
10000,0.747,1.000,1.000,1.000,1.000
100000,0.747,1.000,1.000,1.000,1.000
10,0.794,0.977,0.969,0.957,0.692
100,0.794,1.000,1.000,1.000,0.898
1000,0.794,1.000,1.000,1.000,0.999
10000,0.794,1.000,1.000,1.000,1.000
100000,0.794,1.000,1.000,1.000,1.000
10,0.838,0.991,0.987,0.979,0.737
100,0.838,1.000,1.000,1.000,0.940
1000,0.838,1.000,1.000,1.000,1.000
10000,0.838,1.000,1.000,1.000,1.000
100000,0.838,1.000,1.000,1.000,1.000
10,0.877,1.000,0.995,0.991,0.784
100,0.877,1.000,1.000,1.000,0.973
1000,0.877,1.000,1.000,1.000,1.000
10000,0.877,1.000,1.000,1.000,1.000
100000,0.877,1.000,1.000,1.000,1.000
10,0.911,1.000,1.000,0.999,0.838
100,0.911,1.000,1.000,1.000,0.991
1000,0.911,1.000,1.000,1.000,1.000
10000,0.911,1.000,1.000,1.000,1.000
100000,0.911,1.000,1.000,1.000,1.000
10,0.941,1.000,1.000,1.000,0.889
100,0.941,1.000,1.000,1.000,0.997
1000,0.941,1.000,1.000,1.000,1.000
10000,0.941,1.000,1.000,1.000,1.000
100000,0.941,1.000,1.000,1.000,1.000
