,"Crow ""IQ""",,,,,,,,,,,Average voters,,,,,,,,,,
Voters,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
10,0.48,0.48,0.5,0.51,0.53,0.54,0.54,0.55,0.55,0.56,0.56,10,9.54,8.49,7.24,6.08,5.02,4.02,3.08,2.3,1.81,1.81
20,0.46,0.47,0.5,0.53,0.54,0.56,0.57,0.57,0.57,0.58,0.58,20,19.41,17.04,14.28,12.03,10,8,6.05,4.37,3.45,3.31
30,0.46,0.46,0.5,0.54,0.55,0.57,0.58,0.59,0.59,0.6,0.59,30,29.37,25.54,21.23,18.01,15,12,9.03,6.4,5.07,4.94
40,0.45,0.46,0.5,0.54,0.57,0.58,0.6,0.61,0.61,0.61,0.61,40,39.4,34.01,28.18,24,20,16,12.02,8.4,6.7,6.58
50,0.44,0.45,0.5,0.55,0.57,0.59,0.61,0.62,0.62,0.62,0.62,50,49.44,42.43,35.14,30,25,20,15.01,10.4,8.32,8.2
60,0.44,0.44,0.5,0.56,0.58,0.6,0.62,0.63,0.63,0.63,0.63,60,59.5,50.8,42.1,36,30,24,18,12.39,9.94,9.86
70,0.43,0.44,0.5,0.56,0.59,0.61,0.63,0.64,0.64,0.64,0.65,70,69.57,59.17,49.07,42,35,28,21,14.39,11.58,11.5
80,0.43,0.43,0.51,0.57,0.6,0.62,0.64,0.65,0.65,0.65,0.65,80,79.62,67.49,56.05,48,40,32,24,16.38,13.19,13.14
90,0.42,0.43,0.51,0.57,0.6,0.63,0.64,0.66,0.66,0.66,0.66,90,89.68,75.78,63.03,54,45,36,27,18.36,14.84,14.79
100,0.42,0.42,0.51,0.57,0.61,0.63,0.65,0.67,0.67,0.67,0.67,100,99.72,84.07,70.02,60,50,40,30,20.35,16.48,16.43
110,0.42,0.42,0.51,0.58,0.61,0.64,0.66,0.68,0.68,0.68,0.68,110,109.77,92.31,77.01,66,55,44,33,22.34,18.1,18.07
120,0.41,0.41,0.51,0.58,0.62,0.64,0.67,0.68,0.69,0.69,0.69,120,119.81,100.52,84.01,72,60,48,36,24.33,19.74,19.72
130,0.41,0.41,0.51,0.59,0.62,0.65,0.67,0.69,0.69,0.69,0.69,130,129.84,108.75,91.01,78,65,52,39,26.32,21.38,21.35
140,0.41,0.41,0.52,0.59,0.63,0.65,0.68,0.7,0.7,0.7,0.7,140,139.86,116.92,98,84,70,56,42,28.3,23.02,23
150,0.41,0.4,0.52,0.59,0.63,0.66,0.69,0.7,0.71,0.71,0.71,150,149.88,125.09,105,90,75,60,45,30.29,24.66,24.66
160,0.4,0.4,0.52,0.59,0.63,0.67,0.69,0.71,0.71,0.71,0.71,160,159.9,133.24,112,96,80,64,48,32.28,26.32,26.28
170,0.4,0.4,0.52,0.6,0.64,0.67,0.7,0.71,0.72,0.72,0.72,170,169.92,141.39,119,102,85,68,51,34.27,27.96,27.94
180,0.39,0.39,0.52,0.6,0.64,0.68,0.7,0.72,0.73,0.72,0.72,180,179.93,149.46,126,108,90,72,54,36.25,29.59,29.59
190,0.39,0.39,0.52,0.6,0.64,0.68,0.71,0.73,0.73,0.73,0.73,190,189.95,157.64,133,114,95,76,57,38.24,31.22,31.22
200,0.39,0.39,0.53,0.6,0.65,0.69,0.71,0.73,0.74,0.74,0.73,200,199.95,165.73,140,120,100,80,60,40.23,32.86,32.88
210,0.38,0.39,0.53,0.61,0.65,0.69,0.72,0.74,0.74,0.74,0.74,210,209.96,173.84,147,126,105,84,63,42.22,34.51,34.51
220,0.38,0.38,0.53,0.61,0.66,0.69,0.72,0.74,0.75,0.74,0.74,220,219.97,181.92,154,132,110,88,66,44.21,36.14,36.14
230,0.38,0.38,0.53,0.61,0.66,0.7,0.73,0.75,0.75,0.75,0.75,230,229.97,189.92,161,138,115,92,69,46.21,37.78,37.77
240,0.38,0.38,0.53,0.62,0.66,0.7,0.73,0.75,0.75,0.75,0.75,240,239.98,198.05,168,144,120,96,72,48.2,39.44,39.44
250,0.38,0.38,0.53,0.62,0.67,0.71,0.74,0.76,0.76,0.76,0.76,250,249.98,206.09,175,150,125,100,75,50.18,41.08,41.04
