VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
10,0.52,0.53,0.54,0.56,0.57,0.58,0.57,0.58,0.57,0.58,0.58,10.00,9.51,8.44,7.20,6.06,5.01,4.02,3.10,2.35,1.89,1.89
20,0.54,0.54,0.57,0.59,0.60,0.61,0.61,0.61,0.61,0.61,0.61,20.00,19.32,16.88,14.21,12.02,10.00,8.01,6.07,4.44,3.61,3.50
30,0.54,0.55,0.58,0.61,0.62,0.63,0.63,0.64,0.63,0.63,0.63,30.00,29.25,25.27,21.16,18.01,15.00,12.00,9.04,6.50,5.33,5.22
40,0.55,0.56,0.60,0.63,0.64,0.65,0.65,0.66,0.65,0.65,0.65,40.00,39.24,33.60,28.11,24.00,20.00,16.00,12.02,8.53,7.04,6.96
50,0.55,0.56,0.61,0.64,0.66,0.67,0.67,0.68,0.67,0.67,0.67,50.00,49.26,41.91,35.08,30.00,25.00,20.00,15.01,10.55,8.77,8.70
60,0.56,0.57,0.62,0.65,0.67,0.68,0.69,0.69,0.68,0.68,0.68,60.00,59.30,50.11,42.05,36.00,30.00,24.00,18.01,12.57,10.50,10.43
70,0.57,0.57,0.63,0.67,0.69,0.70,0.70,0.71,0.70,0.69,0.69,70.00,69.35,58.30,49.03,42.00,35.00,28.00,21.01,14.57,12.22,12.17
80,0.57,0.57,0.64,0.68,0.70,0.71,0.72,0.72,0.71,0.71,0.71,80.00,79.41,66.46,56.02,48.00,40.00,32.00,24.00,16.57,13.95,13.92
90,0.57,0.58,0.65,0.69,0.71,0.72,0.73,0.73,0.72,0.72,0.72,90.00,89.46,74.62,63.01,54.00,45.00,36.00,27.00,18.58,15.69,15.66
100,0.58,0.58,0.66,0.70,0.72,0.73,0.74,0.74,0.73,0.73,0.73,100.00,99.52,82.75,70.01,60.00,50.00,40.00,30.00,20.57,17.43,17.39
110,0.58,0.59,0.67,0.71,0.73,0.74,0.75,0.76,0.74,0.74,0.74,110.00,109.57,90.85,77.00,66.00,55.00,44.00,33.00,22.57,19.15,19.14
120,0.59,0.59,0.67,0.72,0.74,0.75,0.76,0.76,0.75,0.75,0.75,120.00,119.62,98.89,84.00,72.00,60.00,48.00,36.00,24.56,20.89,20.88
130,0.59,0.59,0.68,0.72,0.75,0.76,0.77,0.77,0.76,0.76,0.76,130.00,129.67,106.94,91.00,78.00,65.00,52.00,39.00,26.55,22.64,22.60
140,0.59,0.60,0.69,0.73,0.75,0.77,0.78,0.78,0.77,0.76,0.77,140.00,139.71,114.97,98.00,84.00,70.00,56.00,42.00,28.55,24.37,24.35
150,0.60,0.60,0.70,0.74,0.76,0.78,0.79,0.79,0.78,0.77,0.77,150.00,149.74,123.01,105.00,90.00,75.00,60.00,45.00,30.54,26.08,26.10
160,0.60,0.60,0.70,0.74,0.77,0.79,0.79,0.79,0.79,0.78,0.78,160.00,159.78,131.02,112.00,96.00,80.00,64.00,48.00,32.54,27.83,27.82
170,0.60,0.60,0.71,0.75,0.77,0.79,0.80,0.80,0.79,0.79,0.79,170.00,169.80,139.06,119.00,102.00,85.00,68.00,51.00,34.52,29.57,29.58
180,0.61,0.61,0.72,0.76,0.78,0.80,0.81,0.81,0.80,0.80,0.80,180.00,179.83,147.05,126.00,108.00,90.00,72.00,54.00,36.52,31.33,31.32
190,0.61,0.61,0.72,0.76,0.79,0.81,0.81,0.82,0.81,0.80,0.80,190.00,189.85,155.05,133.00,114.00,95.00,76.00,57.00,38.51,33.03,33.06
